,player_name,team,runs,no_of_matches,no_of_innings,no_of_time_notout,highest_score,average,no_of_ballsfaced,strikerate,no_of_century,no_of_halfcentury,no_of_fours,no_of_sixes,runs_per_match,boundary_runs,boundary_percentage
0,Sai Sudharsan,GT,759,15,15,1,108*,54.21,486,156.17,1,6,88,21,50.6,478,62.97760210803689
1,Surya Kumar Yadav,MI,717,16,16,5,73*,65.18,427,167.91,0,5,69,38,44.8125,504,70.29288702928869
2,Virat Kohli,RCB,657,15,15,3,73*,54.75,454,144.71,0,8,66,19,43.8,378,57.534246575342465
3,Shubman Gill,GT,650,15,15,2,93*,50.00,417,155.87,0,6,62,24,43.333333333333336,392,60.30769230769231
4,Mitchell Marsh,LSG,627,13,13,0,117,48.23,383,163.7,1,6,56,37,48.23076923076923,446,71.1323763955343
5,Shreyas Iyer,PBKS,604,17,17,5,97*,50.33,345,175.07,0,6,43,39,35.529411764705884,406,67.21854304635761
6,Yashasvi Jaiswal,RR,559,14,14,1,75,43.00,350,159.71,0,6,60,28,39.92857142857143,408,72.98747763864043
7,Prabhsimran Singh,PBKS,549,17,17,0,91,32.29,342,160.52,0,4,56,30,32.294117647058826,404,73.58834244080145
8,K L Rahul,DC,539,13,13,3,112*,53.90,360,149.72,1,3,52,21,41.46153846153846,334,61.96660482374769
9,Jos Buttler,GT,538,14,13,4,97*,59.78,330,163.03,0,5,52,24,38.42857142857143,352,65.4275092936803
10,Nicholas Pooran,LSG,524,14,14,2,87*,43.67,267,196.25,0,5,45,40,37.42857142857143,420,80.1526717557252
11,Heinrich Klaasen,SRH,487,13,13,2,105*,44.27,282,172.69,1,1,42,25,37.46153846153846,318,65.29774127310061
12,Priyansh Arya,PBKS,475,17,17,0,103,27.94,265,179.24,1,2,55,25,27.941176470588236,370,77.89473684210526
13,Aiden Markram,LSG,445,13,13,0,66,34.23,299,148.82,0,5,38,22,34.23076923076923,284,63.82022471910113
14,Abhishek Sharma,SRH,439,14,13,0,141,33.77,227,193.39,1,2,46,28,31.357142857142858,352,80.18223234624145
15,Rohit Sharma,MI,418,15,15,1,81,29.86,280,149.28,0,4,41,22,27.866666666666667,296,70.81339712918661
16,Phil Salt,RCB,403,13,13,1,65,33.58,229,175.98,0,4,48,22,31.0,324,80.39702233250621
17,Riyan Parag,RR,393,14,14,2,95,32.75,236,166.52,0,1,27,27,28.071428571428573,270,68.70229007633588
18,Ajinkya Rahane,KKR,390,13,12,1,61,35.45,264,147.72,0,3,36,20,30.0,264,67.6923076923077
19,Ryan Rickelton,MI,388,14,14,1,62*,29.85,257,150.97,0,3,47,17,27.714285714285715,290,74.74226804123711
20,Travis Head,SRH,374,13,12,0,76,31.17,230,162.6,0,3,50,15,28.76923076923077,290,77.54010695187165
21,Nehal Wadhera,PBKS,369,16,15,3,70,30.75,253,145.84,0,2,28,21,23.0625,238,64.49864498644986
22,Shivam Dube,CSK,357,14,14,3,50,32.45,270,132.22,0,1,22,21,25.5,214,59.943977591036415
23,Ishan Kishan,SRH,354,14,13,3,106*,35.40,232,152.58,1,1,33,15,25.285714285714285,222,62.71186440677966
24,Shashank Singh,PBKS,350,17,14,7,61*,50.00,228,153.5,0,3,23,18,20.58823529411765,200,57.14285714285714
25,N Tilak Varma,MI,343,16,13,2,59,31.18,248,138.3,0,2,23,16,21.4375,188,54.81049562682215
26,Dhruv Jurel,RR,333,14,13,4,70,37.00,213,156.33,0,2,22,22,23.785714285714285,220,66.06606606606607
27,Ayush Badoni,LSG,329,14,11,1,74,32.90,222,148.19,0,2,27,14,23.5,192,58.35866261398176
28,Rajat Patidar,RCB,312,15,14,1,64,24.00,217,143.77,0,2,25,14,20.8,184,58.97435897435898
29,Abishek Porel,DC,301,13,13,1,51,25.08,205,146.82,0,1,28,12,23.153846153846153,184,61.12956810631229
30,Ravindra Jadeja,CSK,301,14,14,5,77*,33.44,222,135.58,0,2,25,10,21.5,160,53.156146179402
31,Tristan Stubbs,DC,300,14,13,7,41*,50.00,199,150.75,0,0,25,11,21.428571428571427,166,55.333333333333336
32,Angkrish Raghuvanshi,KKR,300,12,11,2,50,33.33,215,139.53,0,1,30,8,25.0,168,56.00000000000001
33,Sherfane Rutherford,GT,291,13,11,2,46,32.33,185,157.29,0,0,22,18,22.384615384615383,196,67.35395189003437
34,Sanju Samson,RR,285,9,9,1,66,35.63,203,140.39,0,1,27,13,31.666666666666668,186,65.26315789473685
35,Josh Inglis,PBKS,278,11,11,2,73,30.89,171,162.57,0,1,26,16,25.272727272727273,200,71.94244604316546
36,Rishabh Pant,LSG,269,14,13,2,118*,24.45,202,133.16,1,1,23,16,19.214285714285715,188,69.88847583643123
37,Axar Patel,DC,263,12,11,1,43,26.30,167,157.48,0,0,23,15,21.916666666666668,182,69.20152091254754
38,Jitesh Sharma,RCB,261,15,11,4,85*,37.29,148,176.35,0,1,24,17,17.4,198,75.86206896551724
39,Vaibhav Suryavanshi,RR,252,7,7,0,101,36.00,122,206.55,1,1,18,24,36.0,216,85.71428571428571
40,Naman Dhir,MI,252,16,12,4,46,31.50,138,182.6,0,0,24,13,15.75,174,69.04761904761905
41,Devdutt Padikkal,RCB,247,10,10,1,61,27.44,164,150.6,0,2,21,14,24.7,168,68.0161943319838
42,Sunil Narine,KKR,246,12,12,1,44,22.36,144,170.83,0,0,25,19,20.5,214,86.99186991869918
43,Ayush Mhatre,CSK,240,7,7,0,94,34.29,127,188.97,0,1,31,11,34.285714285714285,190,79.16666666666666
